Time,Flow,Pressure,Fase-insp-exp,Volume
0,-0.129671,0.003909,0,-0.000043
0.02,-0.129671,0.003909,0,-0.000086
0.04,-0.129671,0.003909,0,-0.00013
0.06,0.310479,0.003909,0,-0.000026
0.08,0.310479,0.003909,0,0.000077
0.1,-0.129671,0.003909,0,0.000034
0.12,0.310479,0.003909,0,0.000138
0.14,-0.129671,-0.001338,0,0.000094
0.16,0.310479,0.003909,0,0.000198
0.18,0.310479,0.003909,0,0.000301
0.2,-0.129671,0.003909,0,0.000258
0.22,0.310479,0.003909,0,0.000362
0.24,-0.129671,-0.001338,0,0.000318
0.26,0.310479,-0.001338,0,0.000422
0.28,-0.129671,0.003909,0,0.000379
0.3,-0.129671,0.003909,0,0.000335
0.32,-0.129671,0.003909,0,0.000292
0.34,-0.129671,0.003909,0,0.000249
0.36,0.310479,0.003909,0,0.000352
0.38,0.310479,0.003909,0,0.000456
0.4,-0.129671,0.003909,0,0.000413
0.42,0.310479,0.003909,0,0.000516
0.44,-0.129671,0.003909,0,0.000473
0.46,-0.129671,-0.001338,0,0.00043
0.48,-0.129671,0.003909,0,0.000387
0.5,-0.129671,0.003909,0,0.000343
0.52,-0.129671,0.003909,0,0.0003
0.54,-0.129671,0.003909,0,0.000257
0.56,-0.129671,0.003909,0,0.000214
0.58,-0.129671,-0.001338,0,0.00017
0.6,-0.129671,0.003909,0,0.000127
0.62,-0.129671,0.003909,0,0.000084
0.64,-0.129671,-0.001338,0,0.000041
0.66,-0.129671,0.003909,0,-0.000002
0.68,-0.129671,0.003909,0,-0.000046
0.7,-0.129671,0.003909,0,-0.000089
0.72,0.310479,0.003909,0,0.000015
0.74,-0.129671,0.003909,0,-0.000029
0.76,-0.129671,-0.001338,0,-0.000072
0.78,0.310479,0.003909,0,0.000032
0.8,-0.129671,0.003909,0,-0.000012
0.82,0.310479,0.003909,0,0.000092
0.84,-0.129671,0.003909,0,0.000049
0.86,-0.129671,-0.001338,0,0.000005
0.88,-0.129671,0.003909,0,-0.000038
0.9,-0.129671,0.003909,0,-0.000081
0.92,-0.129671,0.003909,0,-0.000124
0.94,0.750629,0.003909,0,0.000126
0.96,0.310479,-0.001338,0,0.00023
0.98,-0.129671,0.003909,0,0.000186
1,-0.129671,0.003909,0,0.000143
1.02,-0.129671,-0.001338,0,0.0001
1.04,-0.129671,0.003909,0,0.000057
1.06,-0.129671,0.003909,0,0.000013
1.08,-0.129671,-0.001338,0,-0.00003
1.1,-0.129671,0.003909,0,-0.000073
1.12,0.310479,0.003909,0,0.00003
1.14,0.310479,-0.001338,0,0.000134
1.16,0.310479,0.003909,0,0.000237
1.18,0.310479,0.003909,0,0.000341
1.2,0.310479,0.003909,0,0.000444
1.22,0.310479,0.003909,0,0.000548
1.24,0.310479,-0.001338,0,0.000651
1.26,0.310479,0.003909,0,0.000755
1.28,-0.129671,0.003909,0,0.000712
1.3,0.310479,0.009157,0,0.000815
1.32,0.310479,0.003909,0,0.000919
1.34,-0.129671,0.003909,1,0.000875
1.36,0.750629,0.003909,1,0.001126
1.38,65.892786,0.003909,1,0.02309
1.4,50.487546,-0.001338,1,0.039919
1.42,62.811738,0.003909,1,0.060856
1.44,73.375331,0.003909,1,0.085315
1.46,79.977577,-0.001338,1,0.111974
1.48,86.579823,0.003909,1,0.140834
1.5,92.741919,0.003909,1,0.171748
1.52,95.382817,0.003909,1,0.203542
1.54,101.544913,0.003909,1,0.23739
1.56,103.305512,-0.001338,1,0.271826
1.58,105.066111,0.003909,1,0.306848
1.6,104.185811,0.003909,1,0.341576
1.62,101.985063,0.003909,1,0.375571
1.64,98.904015,-0.001338,1,0.408539
1.66,97.583566,-0.001338,1,0.441067
1.68,95.822967,0.003909,1,0.473008
1.7,90.10102,0.003909,1,0.503042
1.72,86.139673,0.003909,1,0.531755
1.74,81.298026,-0.001338,1,0.558854
1.76,77.776829,0.003909,1,0.58478
1.78,72.935182,0.003909,1,0.609092
1.8,69.413984,0.003909,1,0.63223
1.82,65.892786,0.003909,1,0.654194
1.84,62.371589,0.003909,1,0.674985
1.86,61.051139,-0.001338,1,0.695335
1.88,57.529942,0.003909,1,0.714512
1.9,54.889044,-0.001338,1,0.732808
1.92,53.128445,0.003909,1,0.750517
1.94,50.047397,0.003909,1,0.7672
1.96,49.607247,0.003909,1,0.783736
1.98,47.846648,0.003909,1,0.799684
2,45.6459,0.003909,1,0.8149
2.02,43.445151,0.003909,1,0.829381
2.04,42.124702,0.003909,1,0.843423
2.06,39.923953,-0.001338,1,0.856731
2.08,38.603504,0.003909,1,0.869599
2.1,36.402756,0.003909,1,0.881733
2.12,35.962606,0.003909,1,0.893721
2.14,33.321708,-0.001338,1,0.904828
2.16,30.24066,0.003909,1,0.914908
2.18,27.599761,0.003909,1,0.924108
2.2,24.958863,0.003909,1,0.932428
2.22,22.758115,-0.001338,1,0.940014
2.24,17.036168,-0.001338,1,0.945692
2.26,13.074821,-0.001338,1,0.950051
2.28,11.754372,-0.001338,1,0.953969
2.3,9.993773,0.003909,1,0.9573
2.32,11.754372,0.003909,1,0.961218
2.34,14.83542,0.003909,1,0.966163
2.36,15.715719,-0.001338,1,0.971402
2.38,16.596019,0.003909,1,0.976934
2.4,14.39527,0.003909,1,0.981732
2.42,10.874072,0.003909,1,0.985357
2.44,8.233174,0.003909,1,0.988101
2.46,-8.492515,-0.001338,1,0.985271
2.48,0.310479,0.003909,1,0.985374
2.5,1.190779,0.003909,1,0.985771
2.52,0.310479,0.003909,1,0.985874
2.54,-0.129671,0.003909,1,0.985831
2.56,0.310479,0.003909,1,0.985935
2.58,0.310479,0.003909,1,0.986038
2.6,-0.129671,0.003909,1,0.985995
2.62,-0.129671,0.003909,1,0.985952
2.64,-0.129671,0.003909,1,0.985909
2.66,0.310479,0.003909,1,0.986012
2.68,0.310479,0.003909,-1,0.986116
2.7,-0.56982,0.003909,-1,0.985926
2.72,-1.00997,0.003909,-1,0.985589
2.74,-27.859102,0.003909,-1,0.976303
2.76,-37.982546,0.003909,-1,0.963642
2.78,-37.102246,0.003909,-1,0.951274
2.8,-62.63093,0.003909,-1,0.930397
2.82,-55.588534,0.003909,-1,0.911868
2.84,-64.831678,0.003909,-1,0.890257
2.86,-72.754373,-0.001338,-1,0.866006
2.88,-78.916469,0.003909,-1,0.8397
2.9,-86.839164,0.003909,-1,0.810754
2.92,-93.00126,0.003909,-1,0.779754
2.94,-92.12096,0.003909,-1,0.749047
2.96,-96.522457,0.003909,-1,0.716872
2.98,-96.962607,0.003909,-1,0.684552
3,-98.283056,0.003909,-1,0.651791
3.02,-96.962607,0.003909,-1,0.61947
3.04,-100.043655,-0.001338,-1,0.586122
3.06,-96.962607,0.003909,-1,0.553801
3.08,-98.723206,0.003909,-1,0.520893
3.1,-94.321709,0.003909,-1,0.489453
3.12,-93.00126,0.003909,-1,0.458452
3.14,-91.240661,0.003909,-1,0.428039
3.16,-89.920212,0.003909,-1,0.398065
3.18,-88.599763,0.003909,-1,0.368532
3.2,-86.839164,0.003909,-1,0.339586
3.22,-87.719463,-0.001338,-1,0.310346
3.24,-82.877816,0.003909,-1,0.28272
3.26,-76.275571,0.003909,-1,0.257295
3.28,-78.476319,0.003909,-1,0.231136
3.3,-77.59602,0.003909,-1,0.20527
3.32,-73.194523,0.003909,-1,0.180872
3.34,-65.711978,-0.001338,-1,0.158968
3.36,-61.75063,0.003909,-1,0.138385
3.38,-60.870331,0.003909,-1,0.118095
3.4,-55.148385,0.003909,-1,0.099712
3.42,-52.067337,0.003909,-1,0.082356
3.44,-48.105989,0.003909,-1,0.066321
3.46,-41.943893,0.003909,-1,0.052339
3.48,-37.982546,-0.001338,-1,0.039679
3.5,-34.461348,0.003909,-1,0.028192
3.52,-28.739402,0.003909,-1,0.018612
3.54,-23.457605,-0.001338,-1,0.010793
3.56,-23.457605,-0.001338,-1,0.002973
3.58,-19.936408,-0.001338,-1,-0.003672
3.6,-18.175809,0.003909,-1,-0.009731
3.62,-16.85536,0.003909,-1,-0.015349
3.64,-15.53491,0.003909,-1,-0.020528
3.66,-1.00997,-0.001338,-1,-0.020864
3.68,0.750629,0.003909,-1,-0.020614
3.7,0.310479,0.003909,-1,-0.02051
3.72,-0.129671,0.003909,1,-0.020554
3.74,0.310479,0.003909,1,-0.02045
3.76,0.310479,0.003909,1,-0.020347
3.78,0.310479,0.003909,1,-0.020243
3.8,0.310479,0.003909,1,-0.02014
3.82,9.113473,0.003909,1,-0.017102
3.84,23.638414,-0.001338,1,-0.009222
3.86,27.599761,0.003909,1,-0.000023
3.88,37.283055,0.003909,1,0.012405
3.9,41.244402,0.003909,1,0.026153
3.92,53.128445,0.003909,1,0.043863
3.94,60.17084,0.003909,1,0.06392
3.96,68.533685,0.003909,1,0.086764
3.98,75.13593,0.003909,1,0.11181
4,81.298026,0.003909,1,0.138909
4.02,84.379074,0.003909,1,0.167035
4.04,90.54117,-0.001338,1,0.197216
4.06,95.382817,-0.001338,1,0.22901
4.08,97.583566,0.003909,1,0.261538
4.1,97.143416,0.003909,1,0.293919
4.12,99.784314,0.003909,1,0.32718
4.14,97.583566,0.003909,1,0.359708
4.16,98.023715,0.003909,1,0.392383
4.18,96.703266,0.003909,1,0.424617
4.2,94.942667,0.003909,1,0.456265
4.22,92.301769,0.003909,1,0.487032
4.24,91.42147,0.003909,1,0.517506
4.26,89.220721,-0.001338,1,0.547246
4.28,86.139673,0.003909,1,0.575959
4.3,83.058625,0.003909,1,0.603646
4.32,80.857877,0.003909,1,0.630598
4.34,77.336679,0.003909,1,0.656377
4.36,74.255631,-0.001338,1,0.681129
4.38,70.294283,0.003909,1,0.70456
4.4,67.213235,0.003909,1,0.726965
4.42,62.371589,0.003909,1,0.747755
4.44,59.290541,-0.001338,1,0.767519
4.46,55.769343,-0.001338,1,0.786109
4.48,54.889044,0.003909,1,0.804405
4.5,53.128445,0.003909,1,0.822114
4.52,51.807996,0.003909,1,0.839384
4.54,49.167097,-0.001338,1,0.855773
4.56,49.167097,0.003909,1,0.872162
4.58,47.846648,0.003909,1,0.888111
4.6,44.32545,0.003909,1,0.902886
4.62,40.804253,0.003909,1,0.916487
4.64,37.723205,-0.001338,1,0.929062
4.66,34.642157,-0.001338,1,0.940609
4.68,27.159612,0.003909,1,0.949662
4.7,20.117216,0.003909,1,0.956368
4.72,-18.615958,0.003909,1,0.950163
4.74,-1.890269,-0.001338,1,0.949533
4.76,2.511228,-0.001338,1,0.95037
4.78,0.310479,0.003909,-1,0.950473
4.8,0.310479,0.003909,-1,0.950577
4.82,-0.129671,0.003909,-1,0.950533
4.84,-0.129671,0.003909,-1,0.95049
4.86,-0.129671,0.003909,-1,0.950447
4.88,-0.129671,0.003909,-1,0.950404
4.9,-0.129671,-0.001338,-1,0.950361
4.92,-0.129671,0.003909,-1,0.950317
4.94,-0.129671,0.003909,-1,0.950274
4.96,-0.129671,0.003909,-1,0.950231
4.98,-12.453862,0.003909,-1,0.94608
5,-40.183294,-0.001338,-1,0.932685
5.02,-56.908983,0.003909,-1,0.913716
5.04,-59.109732,0.003909,-1,0.894012
5.06,-61.75063,-0.001338,-1,0.873429
5.08,-72.754373,0.003909,-1,0.849177
5.1,-84.638415,0.003909,-1,0.820964
5.12,-89.920212,0.003909,-1,0.790991
5.14,-94.761859,0.003909,-1,0.759404
5.16,-100.043655,-0.001338,-1,0.726056
5.18,-104.005003,0.003909,-1,0.691388
5.2,-107.086051,0.003909,-1,0.655692
5.22,-106.205751,0.003909,-1,0.62029
5.24,-104.445152,0.003909,-1,0.585475
5.26,-103.124703,0.003909,-1,0.5511
5.28,-97.842907,0.003909,-1,0.518486
5.3,-97.842907,0.003909,-1,0.485872
5.32,-95.642158,0.003909,-1,0.453991
5.34,-93.881559,0.003909,-1,0.422697
5.36,-90.360362,-0.001338,-1,0.392577
5.38,-87.279314,0.003909,-1,0.363484
5.4,-81.997517,-0.001338,-1,0.336151
5.42,-78.916469,-0.001338,-1,0.309846
5.44,-77.59602,0.003909,-1,0.283981
5.46,-75.835421,-0.001338,-1,0.258702
5.48,-73.194523,0.003909,-1,0.234304
5.5,-72.314223,0.003909,-1,0.210199
5.52,-67.912726,0.003909,-1,0.187562
5.54,-65.271828,0.003909,-1,0.165804
5.56,-62.19078,-0.001338,-1,0.145074
5.58,-58.229433,0.009157,-1,0.125664
5.6,-56.028684,0.003909,-1,0.106988
5.62,-53.827935,0.003909,-1,0.089045
5.64,-49.866588,0.003909,-1,0.072423
5.66,-44.584791,0.003909,-1,0.057562
5.68,-41.943893,0.003909,-1,0.04358
5.7,-39.302995,0.003909,-1,0.030479
5.72,-34.901498,-0.001338,-1,0.018845
5.74,-32.700749,-0.001338,-1,0.007945
5.76,-29.179552,-0.001338,-1,-0.001781
5.78,-26.098504,0.003909,-1,-0.010481
5.8,-23.897755,0.003909,-1,-0.018447
5.82,-20.816707,0.003909,-1,-0.025386
5.84,-21.256857,0.003909,-1,-0.032471
5.86,-18.175809,-0.001338,-1,-0.03853
5.88,-17.295509,0.003909,-1,-0.044295
5.9,-15.97506,-0.001338,-1,-0.04962
5.92,-15.97506,-0.001338,-1,-0.054945
5.94,5.152126,-0.001338,-1,-0.053228
5.96,-0.56982,0.003909,-1,-0.053418
5.98,-0.56982,0.003909,-1,-0.053608
6,0.310479,-0.001338,-1,-0.053504
6.02,-0.129671,0.003909,-1,-0.053547
6.04,-0.129671,0.003909,-1,-0.05359
6.06,0.310479,0.003909,-1,-0.053487
6.08,-0.129671,0.003909,1,-0.05353
6.1,0.310479,0.003909,1,-0.053427
6.12,6.472575,0.003909,1,-0.051269
6.14,25.399013,0.003909,1,-0.042803
6.16,28.92021,0.003909,1,-0.033163
6.18,37.283055,-0.001338,1,-0.020735
6.2,40.804253,-0.001338,1,-0.007134
6.22,50.927696,0.003909,1,0.009842
6.24,57.529942,-0.001338,1,0.029019
6.26,65.452637,0.003909,1,0.050836
6.28,69.413984,0.003909,1,0.073974
6.3,75.57608,-0.001338,1,0.099166
6.32,78.657128,0.003909,1,0.125385
6.34,82.178326,-0.001338,1,0.152778
6.36,86.579823,0.003909,1,0.181638
6.38,88.780571,-0.001338,1,0.211232
6.4,90.10102,0.003909,1,0.241265
6.42,91.861619,0.003909,1,0.271886
6.44,90.98132,-0.001338,1,0.302213
6.46,89.220721,0.003909,1,0.331953
6.48,90.10102,0.003909,1,0.361987
6.5,89.220721,0.003909,1,0.391727
6.52,87.460122,-0.001338,1,0.420881
6.54,85.259374,-0.001338,1,0.4493
6.56,83.938925,0.003909,1,0.47728
6.58,82.618475,0.003909,1,0.504819
6.6,80.417727,0.003909,1,0.531625
6.62,76.896529,-0.001338,1,0.557258
6.64,75.13593,0.003909,1,0.582303
6.66,72.495032,0.003909,1,0.606468
6.68,70.294283,0.003909,1,0.629899
6.7,67.213235,0.003909,1,0.652304
6.72,64.572337,0.003909,1,0.673828
6.74,62.371589,0.003909,1,0.694618
6.76,58.850391,0.003909,1,0.714235
6.78,56.209493,0.003909,1,0.732972
6.8,54.008744,0.003909,1,0.750975
6.82,51.807996,0.003909,1,0.768244
6.84,49.607247,0.003909,1,0.78478
6.86,48.726948,0.003909,1,0.801022
6.88,46.966349,0.003909,1,0.816677
6.9,48.286798,0.003909,1,0.832773
6.92,46.966349,0.003909,1,0.848428
6.94,46.526199,-0.001338,1,0.863937
6.96,45.20575,0.003909,1,0.879006
6.98,42.124702,0.003909,1,0.893047
7,39.043654,0.003909,1,0.906062
7.02,35.082306,0.003909,1,0.917756
7.04,32.881558,0.003909,1,0.928717
7.06,5.592276,-0.001338,1,0.930581
7.08,-8.492515,0.003909,1,0.92775
7.1,-1.890269,0.003909,1,0.92712
7.12,0.310479,0.003909,1,0.927223
7.14,0.310479,-0.001338,1,0.927327
7.16,0.310479,0.003909,1,0.92743
7.18,-0.129671,0.003909,1,0.927387
7.2,-0.129671,0.003909,1,0.927344
7.22,-0.129671,0.003909,1,0.9273
7.24,0.310479,0.003909,-1,0.927404
7.26,0.310479,0.003909,-1,0.927507
7.28,-1.890269,0.003909,-1,0.926877
7.3,-23.897755,0.003909,-1,0.918911
7.32,-37.542396,0.003909,-1,0.906397
7.34,-59.109732,-0.001338,-1,0.886694
7.36,-58.669582,-0.001338,-1,0.867138
7.38,-75.395271,0.003909,-1,0.842006
7.4,-80.677068,0.003909,-1,0.815113
7.42,-83.758116,-0.001338,-1,0.787194
7.44,-96.082308,0.003909,-1,0.755167
7.46,-100.043655,0.003909,-1,0.721819
7.48,-97.402757,0.003909,-1,0.689351
7.5,-100.483805,0.003909,-1,0.655857
7.52,-102.244404,0.003909,-1,0.621775
7.54,-104.005003,0.003909,-1,0.587107
7.56,-101.364104,-0.001338,-1,0.553319
7.58,-101.804254,0.003909,-1,0.519384
7.6,-98.283056,0.003909,-1,0.486623
7.62,-96.962607,-0.001338,-1,0.454302
7.64,-97.402757,-0.001338,-1,0.421835
7.66,-93.881559,0.003909,-1,0.390541
7.68,-93.00126,0.003909,-1,0.35954
